陈小强(00:00:01): 小梁主持，小梁主持，小梁主持，
陈小强(00:02:39): 听到吗。你就算截止到7月30号吧，差不多吧，那么大概60万美金，

朱学峰(00:02:47): 只有粉和零零的10月份开始？

陈小强(00:02:50): 在58万美金，58万美金到62万美金左右，数据偏差不会太大。对，因为现在逐步，因为因为之前他做的很多表格里面有很多数据都是错误的，我们现在逐项检查。反正现在目前来说我大概看了一下，因为为什么？你细账可能没那么精准，但是大账上因为现在目前来说总共是1000多个货柜加，再加运托大概300多托，我大概测算了一下，在580000~620000美金左右，这个数据基本上是比较靠谱在谱的，那我们的想法是什么？因为现在目前的非 epc 也在逐步在做，我们西格玛这边融资，如果贝快达那边融资比较顺利，我的想法是，在今年年底我们就把乌干达跟坦商要开开。争取到明年8月份我们要定一个目标，我跟德雷讲过了，我们也做可行性分析，能做到一个月做到5000个货柜，差不多的整个流水应该能做到1000万美金。现在目前来说朝这个目标去做，所以那你想我们就，为什么我要讲这个事情？小楠你也听一听，那我们做到1000万美金，那我们飞快，我们的飞快打。说白了就更有底气，这个意思。

Gavin(00:04:04): 现在西格玛的营收，

陈小强(00:04:05): 我说白。

Gavin(00:04:07): 它能不能倒一部分到飞快达上面去？因为。

陈小强(00:04:12): 样子的，根据事情，你这样的我们到时候见面我们会我会跟你探讨业务模型怎么收费，

Gavin(00:04:18): 对。

陈小强(00:04:20): 都没问题，左手倒右手的问题，都没问题，

Gavin(00:04:23): 对。

陈小强(00:04:23): 我们都可以去探讨，明白我的意思。对，但是什么意思？前期我们可以从通过西格玛前期成长的时候，我可以找一些资源，无条件的找一些资源过去，后期我们飞快的还是要靠自身的力量。因为前期它弱小，我通过西格玛来扶持没问题的，因为实质学家因为西格玛的股东跟非观的股东不完全重叠，其他股东可能也会有意见的明白我的意思，但是前期，跟大家讲讲明，这种事情肯定一定要放在台面上，我跟所有的股东都讲明，我前期要扶持飞快达，飞快达又起来了，那我这块的利润。我还是要去倒给西格玛的，你明白我的意思，兄弟归兄弟，但是账大家要清楚，举个例子给你听一下，就比如说我们这块有个卖买地的公司，前期比如说有些费用。我应该到底是 sigma 相关的，我们还有其他一个公司，我其实前面很多的钱都是通过公司来倒的，如果说最终形成利润了，我这个钱要还回去的，只有这样才能做的长久，这个意思。没问题的，反正到时候等你过来，我们细节这一块我们再探讨好不好，

Gavin(00:05:40): 对，我们细节盘一盘对，因为来了之后才知道，

陈小强(00:05:44): 我想说的是什么意思？小南你要知道，因为我们讲这些数据都不是拍脑袋讲的，都是做的，根据资源做的一些匹配做的一些分析是有可能做到这个目标的，你知道吧？对，那你想一想，那你飞快，我们飞快达这个层面，怎么跟西格玛线下的资源用好西格玛线下的资源怎么去让他快速去成长？那到时候我会告诉你一些细节，那我会跟你讲，我比如说我在哪些层面，我们有资源，那我们飞快达怎么切入进去，就这块，我们到时候见面详细聊！

Gavin(00:06:19): 好的！

陈小强(00:06:21): 好好，我讲完了。好好交给你好！

Gavin(00:06:25): 那这个我肯定15号到了之后再跟强哥这边把它盘盘点清楚，明周五的时候我跟朱总不是去畅联，我们到时候以什么身份去跟他聊，我们总不能说去拜师学艺吧，朱总就您这边是怎么介绍的？

陈小强(00:06:46): 我建议这种事情，不要藏着掖着直接讲。

朱学峰(00:06:53): 我是这样的，我们现在非洲做平台，想过来学习求教，有机会我们可以后面看看能不能合作，也是很真实的，

陈小强(00:07:10): 对。

朱学峰(00:07:11): 它能给我们带来很多。

陈小强(00:07:11): 这还是走！

朱学峰(00:07:14): 对，就很坦诚的嘛，我就讲了我们去求教去学习。

陈小强(00:07:16): 就坦诚对！对的。

朱学峰(00:07:18): 有机会，我们可以一起合作，

Gavin(00:07:20): Ok。

朱学峰(00:07:24): 他合作的意思他来投资我们给我们钱。

Gavin(00:07:29): 明白了！

朱学峰(00:07:29): 成为我们的股东。

陈小强(00:07:29): 小梁，小梁，小南你你想一个问题，我插一句，你这个里面你这两年因为你没来之前你思考一个模式，我们这个东西，不是只连接陆运，可能空运加海运我们都有资源，你里面平台里面不是说只是简简单做一个车辆调度的，你想一想。有没有一种可行性？

陈德雷(00:07:53): 提的非常好！

陈小强(00:07:53): 对，还是纯？

Gavin(00:07:53): 那是一个综合物流？

陈德雷(00:07:58): 我说强总提的特别好。

陈小强(00:08:02): 对，你你考虑一下，因为为什么？因为里面将来，我觉得因为我们的，因为在非洲层面，小梁，因为它有很多是空运的，你知道吗？空运特别多，因为它公路，运输它虽然占比比较大，但是空，你要知道它本身非洲层面，整个制造能力它是一般的，它很多原材料都是从中国从其他国家过来的，这个里面就涉及到我们海运，包括转港贸易，都是我们的线下资源，因为你最终我说的直白，哪怕我在上面我就出一点点的佣金，那我当我到一定的数量的时候，这个平台都是很可观的。你考虑一下小梁，

Gavin(00:08:44): 我设计一下，

陈小强(00:08:46): 我再讲一句。Than. 空运的利润是非常高的！

Gavin(00:08:53): 德雷总说一下，

陈德雷(00:08:56): 我接着强总补充一下，梁总你在思考这个问题的时候，我刚刚把一个信息发到飞快达的群里面去了，

Gavin(00:09:03): 好。

陈德雷(00:09:05): 在因为除了我们本地的内陆的车辆的线上叫车平台之外，这个平台里面可以涵盖一个 cif fob ddp 和 dap 的这样的一个模式，在这里面因为很多做出口的企业，它也是要去涉足这一个板块的业务的，在基础之上就有了强总的，

陈德雷(00:09:30): 刚才提出来的，我要海运接单订单，我需要空运接订单。我甚至还需要从大陆发到肯尼亚或者大陆直接到肯尼亚，然后再去到美国的这一段的总价格的服务，

陈小强(00:09:43): 对是。对。

陈德雷(00:09:44): 这样子的平台。我把这个知识点发到群里面去，到时候你们会后可以科普一下 crf 的价格的模式，Fob 的始发港，ddp 的这个模式就是平台里面，它你但凡加一点点内容，你就盖过了。另外一个，你的竞争力就会更强一点，

陈德雷(00:10:05): 你的客你的平台粘性会更高一点。

Gavin(00:10:05): 对。

Gavin(00:10:09): 我明白，

陈德雷(00:10:10): 对。

Gavin(00:10:10): 其实最终的服务的客户是货主，发货方或者说收货方，

陈德雷(00:10:15): 对。

陈德雷(00:10:17): 对，

Gavin(00:10:17): 就等于是把物流全包了。

陈小强(00:10:17): 对，

陈小强(00:10:17): 意思，

陈德雷(00:10:18): 这个里面。

陈小强(00:10:18): 意思。

陈德雷(00:10:20): 对，通过这段时间跟。

Gavin(00:10:21): 那就变成快递公司了，像京东快递这个物流公司它全包，我不管你用什么物流。

陈小强(00:10:29): 全部，里面还有一个，

陈德雷(00:10:31): 对。

陈小强(00:10:32): 小兰，你这里面还要考虑一点，我今天因为建了一个跟海关关系比较好的，他可能你来的时候我会引荐给你的，这样的，因为你后面的话我不可能天天陪着你去跑的，那我肯定要找一些本地的合作伙伴的链接的，

Gavin(00:10:44): 对。

陈小强(00:10:46): 这样的，因为你后面我们不是考跑很多 license 嘛，

Gavin(00:10:50): 对。

陈小强(00:10:51): 很多许可，然后包括要打通海关的接口，肯定要有一个人去盯着，天天去跑这个事情，你知道吧？我这边有几个已经有人找到几个合作的人，然后这些人嘛，反正我们到时候分你利益给他就行了，他不会在我们公司占什么股份，

陈小强(00:11:03): 合作伙伴，你因为你最终推广你本地，推广他做本地的代理，你肯定需要一个本地的代理，那你比如说你这个平台，我多少佣金给他，你懂我的意思，你需要这样的人，他就去跑政府关系，因为本地人搞本地人还是有一套的，

陈小强(00:11:17): 你明白我的意思，他这样的，我跟他提了一个意见，什么意见？我们后面的为什么你要考虑这个事情，我讲我把这个逻辑再给你讲一下，是这样的，后面马上我们有一个很重要的一点，我们最终通过 ai 清。层面去跑，这个里面我这么跟你讲，那么我们肯定需要很多海关的接口，我们中国人天天去跑，我跟你讲是很费时的。比较活络的，

Gavin(00:11:17): 对是。

Gavin(00:11:46): 就这清关系统？

陈小强(00:11:49): 到时候我介绍给你。

Gavin(00:11:49): 清关。

陈小强(00:11:52): 对到时候我会让他去对接，让他来去给你对接这些资源。对因为他也有求于我，也给他做一些。

Gavin(00:11:59): 那我下周我也去深国际去偷师学艺一下，完了他们也是做海关清关的，然后就从清关系统，然后后面做一一整套的服务司机的生态，或者说服务提前做一些海关的审查，然后这一系列的服务，

陈小强(00:12:18): 对。

Gavin(00:12:22): 到时候可以吸收一下他们之前的方案的经验。

陈小强(00:12:26): 因为我后面考虑什么？因为你你要考虑清楚一点什么问题？你为什么需要本地合作伙伴？因为以后政商关系这个层面一定是要靠本地人来做的，

Gavin(00:12:36): 对。

陈小强(00:12:36): 他会有很多野路子的，我们中国人去搞，有很多东西我们尽量的我们做的我们这个层面尽量做的事情要合规，你知道吧？我们最终这个平台要去上市的，

Gavin(00:12:46): 对。

陈小强(00:12:47): 是不是？我这个平台里面，那我就要正规，我很多东西我就要正规，我最终我们要走资本市场的，那我很多东西我要合规的，那不合规的事情我就到本地代理去做了。

Gavin(00:13:00): 吃了。

陈小强(00:13:01): 对，我们要考虑，要提前考虑好，第二个你要考虑一个问题。

Gavin(00:13:03): 要有提前要有防火墙公司，和影子公司嘛，提前就建好嘛，

陈小强(00:13:07): 对，你肯定是让本本让本地人来做的，你外企，你像外企在中国他都是合规的，那么不合规的都是给供应商给本地代理来做嘛，

Gavin(00:13:14): 对是。

陈小强(00:13:17): 我觉得我们提前就要想好，因为我们最终的目的是走资本市场，这是第一，第二，你要考虑一个问题，那我们以后在这边立足，你像这些公司过来以后，比如说类似于运满满这些公司过来，我们怎么竞争得过他，这个里面我们需要有。

Gavin(00:13:37): 要构建自己的生态。

陈小强(00:13:39): 对，我要把他的所有的海关系统全部打通，我现在考虑一件什么事情？为什么我要你做 ai 的心吗？我最终跟海关系统，因为他这边那天德利总发到群里面的一个东西，我不知道你有没有仔细看海关系统，

Gavin(00:13:51): 对看到了。

陈小强(00:13:52): 它有很多问题的，我的想法是什么？我后面把接口运营权全部拿下来。然后我帮他免费做升级，我们评估一下，所以你来我们后面要评估工作量，跟本地的合作伙伴评估工作量，我免费帮他做升级做维护，但是他的接口全给我，你要知道当我这个 ai 清关一上那么多清关公司，他要上清关，他必须要用我的接口。他有他就要交费。

Gavin(00:14:15): 对，

陈小强(00:14:15): 有没有我跟你说。

Gavin(00:14:16): 深圳，深圳也是这样的，深圳有一个就是把做给11年给4000万，就是做海关的系统，然后做完海关的系统，

陈小强(00:14:25): 对。

Gavin(00:14:26): 然后再去做他妈的货运，物流，什么之类的，妈的，对接完全无感，

陈小强(00:14:31): 这个东西。

Gavin(00:14:33): 能够把海关系统给盘下来，

陈小强(00:14:34): I choose these. 

Gavin(00:14:36): 哪怕你用另外一个公司去做，你都方便很多。

陈小强(00:14:40): 对，你看，所以你要考虑我们后期的核心竞争力，所以这些等你来，我会把这些资源全部交给你，然后你去对接，思路这个层面我们大家要达成共识。

Gavin(00:14:48): 那我明白了！

陈小强(00:14:52): 你就明白为什么我要做这个事情了，我讲完了，你继续讲梁总！

陈德雷(00:14:57): 还有，我补充下大概率，对梁总还会有一些启发，因为我们之前一直在做 epc 的业务，这段时间一直在小范围的开始开拓一些非 epc 的企业，然后也接触到一些小客，以前小客户是不接触的，现在小客户也会接触，

陈德雷(00:15:20): 非洲这个地方，非洲这个地方，尤其是对于清关知识清关问题的坑。踩的人的比例非常高，我大比例的是会踩坑的，所以前期我这段时间我一直在思考，在你们的在咱们 afa 的线上平台上还可以开通一个会员制的关于清关清运的知识解答，比如说清关运输特种车辆运输的知识问答，叫无坑问答，我可能收个九九块九美金，我就可以作为我一部分的流量的我引流的产品。

Gavin(00:15:59): 做个引流产品嘛，对做个引流产品，回头我来我过来帮你梳理这些知识库，梳理完了之后就可以上线。

陈德雷(00:16:07): 对，因为需求还是蛮大的，大家去东南亚出口出国可能已经很普遍了，大家都 get 不到很多盲点，

陈小强(00:16:21): 雷雷我来插一下，

陈德雷(00:16:21): 但是在非洲的妈的坑你是？

Gavin(00:16:30): 强哥没声音了，

陈小强(00:16:30): 是这样的，我没讲完，因为里面细节。

Gavin(00:16:33): 现在可以。

陈小强(00:16:35): 因为是样子的，因为我们要考虑后面不是说只是做肯尼亚，我们要做东非五国，我想后面，

Gavin(00:16:41): 对。

陈小强(00:16:41): 因为东非五国它是有 eta 的，它的海关系统不能联通的，我们在肯定要把这条路是走通，我说的直白点乌干达坦桑，他所有的海关系统我们都可以帮他去做升级，你知道吧？因为用 ai 跑，这链路太快了，所以我们要考虑这些事情，你明白我的意思，我觉得后面因为现在很多人只是去示范，但是筛下去，但是很多人他没有去走这一步，所以我们动作要快，一旦我们把这东西占住了，就站住了，这里面我还告诉你一个事情，目前来说，

陈小强(00:17:14): 所有的东非五国他们在做清单的时候，他都有能力去做的，他没有用，通过接触 ai 和智能化，我很，我们这条线路走通，我说的白了，这东西我都可以免费帮他做的。

程志斌-永和资本(00:17:27): With. 对，

Gavin(00:17:29): 对，我们一定要有一些免费抢地盘的东西，

陈小强(00:17:29): 不是出去点佣金就可以？

程志斌-永和资本(00:17:29): 就会形成，

程志斌-永和资本(00:17:30): 将来就会形成我们的核心竞争力。

Gavin(00:17:32): 对，

陈小强(00:17:33): 对。

Gavin(00:17:33): 因为因为以后对海关系统的掌控，是我们一个很强的竞争力。如果说低成本的给他们搞一搞，那就免费搞，

陈小强(00:17:43): 因为为什么我讲给你听一下我？

Gavin(00:17:44): 你看咱们这 ai 用的贼溜的，可能那边的人还没有觉醒，

陈小强(00:17:49): 我讲给你听一下，

Gavin(00:17:51): 那他们这边已经用了飞起了。

陈小强(00:17:54): 他们没有觉醒，他们觉醒了，有一个问题是什么问题，我讲给你听一下，因为我深度的去聊过了，因为因为现在目前来说整个在欧洲的信息化系统是谁做的，是欧美人做的。在非洲，他们的成本太高了，你知道吧，他们根本就负担不起费用。你你比如像肯尼亚的海关系统，他是法国人做的，那么价格是国国内的价格七倍到10倍，我免费给他做那什么概念？是不是我们去用好 ai？

程志斌-永和资本(00:18:26): 我这里面插一句，插一句，强总，有没有一种可能比方说他海关系统，我们还要考虑，除了考虑，商业逻辑，还要考虑到一个他的所谓的潜规则逻辑有没有可能，比方说他正是因为这些系统，需要人去跑，需要那个那种落后的生产力的这种方式来去交接他那些官员才有，才有，各种各样的，小费，

Gavin(00:18:58): 有水！

程志斌-永和资本(00:18:59): 各种各样的好处，可能性会不会在我们将来对接，比方说我们要推动，规划的时候，会遇到一些障碍？

程志斌-永和资本(00:19:10): 因为。

陈小强(00:19:10): 我这么跟你讲，

陈小强(00:19:12): 我明白你的意思，你这个问题问的非常好，问的非常好，这样的，这种问题肯定会存在。100%会存在，怎么破这个局，说白了我们怎么去破这个局很简单，跟大佬合作，你不要考虑瞎里来，我举个最简单例子，我你看我可以运作一件事情，我讲一下你就懂了，你比如说，我在本地设厂，比如说我要卖玻璃，那我一定把关税调到调整到60%。明白我的意思，你不要考虑这些人的利益，你只要跟大佬合作。你把大佬利益分配好，他制度会一刀切下去的。

程志斌-永和资本(00:19:49): 对，这么聊，强总，我有个工作经验，我想跟大家所有人都分享一下，我们之前，永和资本投了一个项目，现在正在孵化中要去上市的，跟大家之前也提过一嘴，那我今天重说一下，

程志斌-永和资本(00:20:06): 诺亚方舟嘛，中国夜店第一大集团，诺亚方舟，诺亚方舟，它旗下的科技公司，科技公司专门做，酒吧夜店的，这各种各样的运营支撑系统的，就是从从订台到酒水到库存到供应链，到人力资源管理，到它每一张小费提成等等的所有的东西全部在总。这几个子系统非常庞大，光这块的开发，陆陆续续投资也超过人民币1.5个亿了，大概就这样规模，大家可以想象一下。

程志斌-永和资本(00:20:38): 好，现在问题来了，在按我们的上市的要求的话，你肯定是不能光是依赖，诺亚方舟集团的，因为诺亚方舟集团它再大，它已经做到行业的龙头了，市占率只占到3%。3%全行业市占率只有3%，因为行业高度分散，这个不重要，重要的是什么？重要的是他，亚拉拉特旗下，上市主体公司，科技公司叫做亚拉拉特。那亚拉拉特他要去全行业覆盖，一定要走出来的，因为他的软件也已经成熟了嘛，像其他地方去其他的，酒吧夜店集团去推广的过程当中，

程志斌-永和资本(00:21:19): 遇到了一个强阻力，什么强阻力？东西很好，降本增效是触手可达的，都能算算过来账的，比方说我可以减少50个服务员，那这工资算下来那就是省的钱，省的钱都是净利润嘛。比方说我的库存周转周期可以提效到多少什么诸如此类，诸如此类，但是。一直遇到各种各样的阻力，从门店的店长到下面的管后勤的经理管哪的经理，为什么原因？因为比方说他原来七大姑八大姨，请一个保洁阿姨8000块钱一个月他开也就开了，但是你上系统之后，你就是人力资源管理优化市场化，可能50006000就可以请到一个人了，他利益就受损了，本来比方说，像什么充电宝要进到我这个门店，我收他，301000年那实际交工交给集团的交，201000年，他那10万就可以一起装装到自己口袋了，你所有的系统全部招标全部这个程序。全部流程化，全部透明化之后，他这些隐藏力全部被干掉了，所以底下人是1万个，不配合的，你刚才说的，现在这个情况我们就可以预演了，预演的是什么？

程志斌-永和资本(00:22:35): 实际情况是在诺亚方舟体系内由主席牵头，由董事会强压，必须得用上系统，哪怕你别给我找那么多理由说系统由于还有一些不流畅，还有一些培训成本，导致什么？导致我今天营业这疙拉拉，本来今天营业额能有100万的，结果只做到那什么？60万不重要，损失，由公司来承担，由集团来承担，在其他家的话，他就可能找这样那理由，你这个系统不好。大不好，不习惯等等的这样的人，今天我把实际发生的商业情形的话讲出来给大家听一下，我们心里面要有数，既不是像我们想象的那样，完全跟大佬就一定能够，顺顺利利全部推下去，你当然，这条路一定要这样去走，这个方向是对的，也不能够过于乐观，实际情形，

程志斌-永和资本(00:23:24): 刚才像这个。

陈小强(00:23:25): 志斌我来回答你这个问题，

程志斌-永和资本(00:23:26): 非常好的印照。

陈小强(00:23:27): 志斌我来回答你这个问题，

陈小强(00:23:30): 我觉得是这样的，一定利益，你你上系统不是说利益就不存在了，我举个例子给你听一下，你想一想，首先第一，为什么现在它有海关系统？Icms 系统每个国家都有自己的系统，首先上系统了就证明了，他把大多数的利益已经全部抹平了。

陈小强(00:23:52): 再举个例子，你像以前，比如说我们在国内，你办环评证办环保证，你都是在各个乡镇办，你就可以了，后来你看权利收到省厅，

陈小强(00:24:04): 肯尼亚也是一样的，

程志斌-永和资本(00:24:04): 对。

陈小强(00:24:05): 我给你举一个例子给你听一下，我刚开始来的时候这边环评。是走线下的，但是我告诉你他现在所有的环评全部走线上，

程志斌-永和资本(00:24:06): 对。

陈小强(00:24:17): 东西你就懂了，

程志斌-永和资本(00:24:18): Great. 

陈小强(00:24:19): 你明白我的意思，

程志斌-永和资本(00:24:19): 对。

陈小强(00:24:20): 利益没办法的，你一定是，一定是，会遇到这些阻碍的，但是这些阻碍我觉得都不是什么大的问题都能解决。

程志斌-永和资本(00:24:20): 对。

程志斌-永和资本(00:24:32): 那我，我刚才把事情说出来，我是想让大家达成两个共识，第一个共识是什么？我们要有这样的预判，第二个，接强总这个话，有可能我们在系统设计的时候，还要故意的留一些，空子给这些具体经办的就是经理，这些负责人，小队长，还要给他们一些操作空间，这样系统第一步才能很快速的，推行下去，至于以后这些口子逐步收，还会迭代，还会有人那什么，一定是这样的，

陈小强(00:25:05): 对。

程志斌-永和资本(00:25:05): 兼顾各方利益？我这两个提议，一我们要充分有预判，

陈小强(00:25:09): 对。

程志斌-永和资本(00:25:10): 不要，不要连这块。都没有，这是工作经验的分享。第二个是什么？在我们系统设计的时候，比方说流程设计，或者哪设计的时候，他审批权限，怎么样的话，到我这我要审批或者怎么的话，你给我点好处或什么的，我们一开始可能我们明明知道这一块可能会让某些人，经办人产生利益，可能还要留这些小口子，然后以后通过系统不断的迭代升级，再逐步的就是说把它所谓的叫温水煮青蛙，他要有这样一个过程，而不是一开始把所有的流程全部市场化，全部透明化比价什么那完蛋了，你会就是所有人一起反对你，你是很难的，Ok 我说完了。

Gavin(00:25:54): 是在每个地方，政府推荐信息化都会存在的，这个问题就是不知道肯尼亚这边的政府的掌控力有多强了，底下的利益到底有多大，这个我觉得可能得具体到时候看留口子，当然也可以去留，因为任何一个这个地方的项目能落地，上面领导的支持和下面的人都得搞定的，你大大小小我们也做过，我也做过好多个项目了，领导高层顶层架构设计，你给他吹完牛逼，各种讲完，但是下面的各种小鬼也是要。也是要去伺候的，反正你得有人去伺候所有的人，才行，

Gavin(00:26:39): 我理解的，我们要在肯尼亚这边去深耕的话，政府这边的资源和政府这边的一些信息化的设施，我们尽可能的。可能都要有另外一个主体去专门干这个事情，他的一些亏损也好，什么也好，我们可能做一些隔离，我们飞快达只做了这个业务，

Gavin(00:26:59): 但是，这里面的便利。因为对接了海关系统，因为我们做了这些东西，我们取得的便利，它会变成飞快达的利润和核心竞争力。对，

程志斌-永和资本(00:27:11): Betty. 

Gavin(00:27:12): 设计的话，就合理，深圳人家都是专门分割了一个公司，有的就负责亏钱，就给你政府做信息化，给你做维护，有的负责赚钱，反正他总账他能算得过来，就可以了，亏损的。反正亏到一定程度，到时候大不关了，你信息化的推进不就这样，一开始慢慢的像温水煮青蛙嘛，慢慢的割，等到后面领导这边拿到更大的利益了，这个口子就彻底关掉，那到时候我们可能到时候有多个主体，就要一开始就规划好，利润，我们留在飞快达，然后有一些业务是注定要亏损的。就是这些亏损的公司，要炮灰是肯定要存在的，要不然要和一个公司不可能发展那么快，咱们不能违背物理规律，但是，东西可以设计出来。有些公司你就让他亏就行了，

程志斌-永和资本(00:28:12): 对。

Gavin(00:28:14): 因为你这个东西你不做，

程志斌-永和资本(00:28:15): 对。

Gavin(00:28:16): 你这个行业的效率永远都提升不了。你在这边你就解决不了，

程志斌-永和资本(00:28:19): 对。

Gavin(00:28:21): 这个系统工程，你要把它当做一个全盘的系统来看，有些东西炮灰，他就要去牺牲，我们就到时候安排一个公司去牺牲就行了。

程志斌-永和资本(00:28:30): 再说。对，比说即便是同一个公司，它还有不同的部门，那比方说你像人事部门，它是纯纯成本部门，它是，但是它是支撑其他公司，其他部门的嘛，包括法务部门，他也是纯纯是要成本支出的，

Gavin(00:28:46): 对是对。

程志斌-永和资本(00:28:48): 大概就这个意思总的我们觉得我们几个人想的，

Gavin(00:28:49): 对。

程志斌-永和资本(00:28:54): 在一个框架内的，利用它相当于是掌握了，

Gavin(00:28:56): 对。

程志斌-永和资本(00:28:59): 核心竞争力嘛，这样给它注入给飞快达注入，这种垄断性的，行政性的这样的一种资源，你别的别家最后的，飞快达的主营业务，它就从市场上就会逐步向这边来去，汇集流量。

程志斌-永和资本(00:29:13): 更靠拢了吧，

Gavin(00:29:15): 对，因为一开始，

Gavin(00:29:16): 跟政府资源的关系，是引流的很高的产品，因为到时候包包括德雷总说的什么各种清关的问答，是什么肯尼亚的官方站个台背个书，再跟江苏这边也站个台，背个书，各种物流协会搞一搞，那他有官方的背书了之后，大家又觉得又靠谱，那有了引流产品，然后引流产品了之后，我们再去给他，做一些服务，他感受到我们的服务，这平台服务确实靠谱，那慢慢的就有口碑了，因为，但是谁会相信你？那你肯定是一开始要帮政府做了点事情，有天使客户给你刷一些订单，把这个系统给他跑出来，一开始的政府的买路钱和天使客户，我觉得是也这也是我非常看好，可以翻盖达的原因，是作为一个启动很关键的资源。要不然很多公司上来没有政府的信任和背书，他很难获得当地的信任。如果没有天使的客户，他光找第一个客户吭哧的就磨可能也磨半天，我觉得我们有这两个，东西已经是很好的了，这关键是怎么把它给通过一些公司的架构设计，和资源的合理利用，把它最大化也最大化的盘活而已。

Gavin(00:30:53): 那个强哥是不是还有关于什么业务试单的过程，那个志斌总就是你今天在群里面说是不是也有一批？新的 G 瓦有多少 G 瓦的业务？

陈德雷(00:31:08): 和 afa 没关系，

Gavin(00:31:11): 哈哈哈。对。

程志斌-永和资本(00:31:13): 是这样子，可能会新增一些，客户的业务订单，业务订单，等走通了，必然就是在贸易物流这边，物流清关这块的话，肯定会对飞快达有个强劲的注入嘛，大概是这样，

Gavin(00:31:32): 对，那还是到走到西格玛这边，走到西格玛这边，西格玛后面把业务找回。

陈德雷(00:31:33): 补充一下，是走走到西格玛这边，刚才我补充一下你这个梁总提的问题，刷就是，天使客户，天使客户，我们手上也多的是，不管刷单还是正单，我们都走系统走没问题。第二个就是政府背书这一块强总会妥妥的都安排好对接，然后关于国内的物流背书，朱总那大咖大拿，然后物流行业各种协会的，我们这边都能对接上，国内外都备一些书，在系统平台上都去做一些推广是没问题的，你也放心吧！

陈小强(00:32:20): 对，我小梁，我这么讲，你刚才说的什么行业协会？东西重要，但是我跟你讲，对于我们刚开始起步来讲，找大玩家几个大玩家在一起玩就够我们玩了，对。

Gavin(00:32:34): 对，是就一开始就几个大客户嘛，

陈小强(00:32:35): 对，就不要把精力太分散。对，几个大玩家，对，中远，中海运这种大玩家大家去玩一玩，就可以了！

程志斌-永和资本(00:32:44): 20%的大大玩家大大客户产生80%的流量跟利润，

Gavin(00:32:50): 对。

陈小强(00:32:52): 这对。

Gavin(00:32:52): 但是，80%的小客户，给你增加了估值和想象空间。

程志斌-永和资本(00:32:52): 等我们以后比方说。

陈德雷(00:32:53): 对。

程志斌-永和资本(00:32:58): 比方说我们一开始，

陈小强(00:32:58): 对是。

程志斌-永和资本(00:33:02): 按照你的执行规划，我们高度也是高度赞同，从我的个人角度也是高度赞同，比方说我们先做干线，然后再做去做到支线，就相当于你的动大动脉跟毛细血管的关系，8%的小客户，

Gavin(00:33:15): 对。

